codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-254-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=qVnvNx46YY0oR8eUo79q4tgcpQ7JjfPwquAyRHUgHj4,",DCI: UREA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 10 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 90 G -MÍNIMO-,Urea,Semisólido Cutáneo,10 %,Caja X Tubo X 90 G -Mínimo-,Adjudicado otros oferentes,1.47855,Pichincha , Quito,2022-05-03 08:00:00
SICM-255-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=c7YTj5LbNx_ZOqXwUulRfwOj_w_jy3QJmitPIxChWIA,",DCI: ACETAZOLAMIDA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 250 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Acetazolamida,,250 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.2,Pichincha , Quito,2022-05-03 08:00:00
SICM-256-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=5qNGZvjsdsHNPF9AExh3fZFI5rLrlPwb9CoH6D8eIWY,",DCI: ÁCIDO ACETIL SALICÍLICO - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Ácido Acetil Salicílico,,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.01,Pichincha , Quito,2022-05-03 08:00:00
SICM-258-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8eeKWQHlE5nrJSMpVuXIFnXxqmgU1DO7JIdO2TpgY_s,",DCI: CLORTALIDONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clortalidona,Sólido Oral,25 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.06172,Pichincha , Quito,2022-05-03 08:00:00
SICM-234-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kuPrl0bPv8Glz8fW4bMajUKfXhO59IrqSJGetDZ0FxE,",DCI: COTRIMOXAZOL SULFAMETOXAZOL + TRIMETOPRIMA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 400 MG + 80 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Cotrimoxazol Sulfametoxazol + Trimetoprima,Sólido Oral,400 MG + 80 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.019,Pichincha , Quito,2022-05-03 08:00:00
SICM-237-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7QEOjmqZS2Gxi7RYEBtarglBewUNXaqDrNEWdVmKuMo,",DCI: METRONIDAZOL - FORMA FARMACÉUTICA: SÓLIDO VAGINAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Metronidazol,Sólido Vaginal,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.125,Pichincha , Quito,2022-05-03 08:00:00
SICM-239-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=5cUDrtcBoEmWBvw0VHF--8WJsfOwWc6wHIMFqEnrS0k,","DCI: BETAMETASONA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 0,05 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G -MÍNIMO-",Betametasona,Semisólido Cutáneo,"0,05 %",Caja X Tubo X 30 G -Mínimo-,Adjudicado otros oferentes,0.99,Pichincha , Quito,2022-05-03 08:00:00
SICM-243-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=WSd4QxjNGIYJs_fxKGx85TGFH__VtDTuvCvpyt8MAtE,",DCI: SILDENAFILO - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Sildenafilo,Sólido Oral,50 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.175,Pichincha , Quito,2022-05-03 08:00:00
SICM-215-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iU2BRtJsGhrOyJCXa_CRpnxNq9CyksYE_zcVz4PNhJ4,",DCI: PREDNISONA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN:5 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Prednisona,,,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.03,Pichincha , Quito,2022-04-29 08:00:00
SICM-216-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rgQHCBekrOMK_Ru-3ddyyQS9Mk57IU0g4DIO5jV-vN0,",DCI: SERTRALINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Sertralina,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.09385,Pichincha , Quito,2022-04-29 08:00:00
SICM-217-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uc_D70Z1bf6hAOSHMBv1mOM5k_FmJW06ET_Ip8d6LYE,",DCI: TINIDAZOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Tinidazol,Sólido Oral,1 000 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.0432,Pichincha , Quito,2022-04-29 08:00:00
SICM-218-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=RfvErEzApEOoAJbD9JeoNoEdY6OCI6xI1TKdsS4o_a0,",DCI: COTRIMOXAZOL -SULFAMETOXAZOL + TRIMETOPRIMA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: -200 MG + 40 MG-/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML -MÍNIMO- CON DOSIFICADOR,Cotrimoxazol,Líquido Oral,-200 MG + 40 MG-/5 ML,Caja X Frasco X 100 Ml -Mínimo- Con Dosificador,Adjudicado oferente ganador,0.68597,Pichincha , Quito,2022-04-29 08:00:00
SICM-219-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VY8UHtRDWuT75Hf8Q3YXu-jZaxTgaJAWBRNNJY3RJJE,","DCI: PREDNISONA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Prednisona,,20 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado oferente ganador,0.02623,Pichincha , Quito,2022-04-29 08:00:00
SICM-220-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=bONLsJ1P6vADKku-gUoovPY8Bk1CULtvk6lFSDUUwME,",DCI: DICLOXACILINA - FORMA FARMACÉUTICA: SÓLIDO ORAL -POLVO - CONCENTRACIÓN: 250 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 60 ML -MÍNIMO- CON DOSIFICADOR,Dicloxacilina,Sólido Oral -Polvo,250 MG/5 ML,Caja X Frasco Para Reconstituir A 60 Ml -Mínimo- Con Dosificador,Adjudicado oferente ganador,0.77759,Pichincha , Quito,2022-04-29 08:00:00
SICM-222-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=CSpvpbyLWQvsCR_7BvOwRsLT45x69ohfPVjYYhWsuXY,","DCI: TIMOLOL - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,5 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML -MÍNIMO-",Timolol,Líquido Oftálmico,"0,5 %",Caja X Frasco Gotero X 5 Ml -Mínimo-,Adjudicado oferente ganador,0.682,Pichincha , Quito,2022-04-29 08:00:00
SICM-199-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=SZPYAiBy42piVchxnWrayaWLzaratggl7-w6bZunpW4,",DCI: RISPERIDONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Risperidona,Sólido Oral,2 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.11275,Pichincha , Quito,2022-04-29 08:00:00
SICM-200-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=OWOcbllx_rK0c1mohU-IiftkYDSmZefJzdLUJf6_kYk,",DCI: ALBENDAZOL - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 400 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Albendazol,,400 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.07408,Pichincha , Quito,2022-04-29 08:00:00
SICM-225-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_d9PvLvwBSHb4F_J3RKcRoL1y_5TAp3JIK0U5UEnhtM,",DCI: ESPIRONOLACTONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Espironolactona,Sólido Oral,25 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.0531,Pichincha , Quito,2022-04-29 08:00:00
SICM-228-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uRvTBIZl6zgfmWKG06D-KjglGOp0ThifT6ZfNdE3vTg,","DCI: TOBRAMICINA - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,3 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML -MÍNIMO-",Tobramicina,Líquido Oftálmico,"0,3 %",Caja X Frasco Gotero X 5 Ml -Mínimo-,Adjudicado otros oferentes,1.0464,Pichincha , Quito,2022-04-29 08:00:00
SICM-202-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=otr4TiDdeRtXEy4e85O7bHo-OEru9gizGIAOGKQg18A,",DCI: QUETIAPINA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Quetiapina,,100 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.0707,Pichincha , Quito,2022-04-29 08:00:00
SICM-203-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2lsnbZoMAAWMqQ-pa9cUh91NLXzlf75K919R2IZ-TsE,",DCI: CEFUROXIMA - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN: 250 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 70 ML MÍNIMO CON DOSIFICADOR,Cefuroxima,Sólido Oral Polvo,250 MG/5 ML,Caja X Frasco Para Reconstituir A 70 Ml Mínimo Con Dosificador,Adjudicado otros oferentes,3.8,Pichincha , Quito,2022-04-29 08:00:00
SICM-206-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=oISxi9Bm87SniWa2pjyB7fLEJYzxNBfUka_DVZGc3Ak,",DCI: ACICLOVIR - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 400 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Aciclovir,,400 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.04039,Pichincha , Quito,2022-04-29 08:00:00
SICM-207-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=G1_5LZJquiosTUfG56sTuVW1sl-nesEKGuwULG75Pdo,",DCI: MOMETASONA - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 50 MCG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 120 DOSIS MÍNIMO,Mometasona,Líquido Para Inhalación,50 MCG,Caja X Frasco X 120 Dosis Mínimo,Adjudicado otros oferentes,3.4,Pichincha , Quito,2022-04-29 08:00:00
SICM-208-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rm4Q9MyKQkG42kwEM8KcfFpTZo95fXBxbNovOBrl8nI,","DCI: CIPROFLOXACINA - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,3 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML MÍNIMO",Ciprofloxacina,Líquido Oftálmico,"0,3 %",Caja X Frasco Gotero X 5 Ml Mínimo,Adjudicado otros oferentes,1.29,Pichincha , Quito,2022-04-29 08:00:00
SICM-210-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mu91dUAHZUs52Qn3IC2rHDTCgWa0QXm8D-6G2elTSWQ,","DCI: LATANOPROST - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,005 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 2,5 ML MÍNIMO",Latanoprost,Líquido Oftálmico,"0,005 %","Caja X Frasco Gotero X 2,5 Ml Mínimo",Adjudicado oferente ganador,2.2,Pichincha , Quito,2022-04-29 08:00:00
SICM-211-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=OpjAHp7XniELfp1r8YWGj9f0X8miWzZp6gm4BUuJh2c,",DCI: AMOXICILINA - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 30 ML MÍNIMO CON DOSIFICADOR,Amoxicilina,Sólido Oral Polvo,100 MG/ML,Caja X Frasco Para Reconstituir A 30 Ml Mínimo Con Dosificador,Adjudicado oferente ganador,1.573,Pichincha , Quito,2022-04-29 08:00:00
SICM-212-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rKtNHRFdppocnzXPZVvGbfcUhq9W4vTpbMaIooAnL3k,",DCI: ERITROMICINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Eritromicina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.07164,Pichincha , Quito,2022-04-29 08:00:00
SICM-213-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VBcr5tuRJb3yTB_QQJ8y06WiCoGAPaXG1rrxBJslFTw,",DCI: HIDROXICLOROQUINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Hidroxicloroquina,Sólido Oral,200 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.28214,Pichincha , Quito,2022-04-29 08:00:00
SICM-184-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=X80DiiBWPQJF31upwrpz8gWphHNwgiA91U3HJjfO2xM,","DCI: CARVEDILOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 12,5 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Carvedilol,Sólido Oral,"12,5 MG",Caja X Blíster/Ristra,Adjudicado otros oferentes,0.05696,Pichincha , Quito,2022-04-28 08:00:00
SICM-169-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=q05AuPkojBJL-eyMB6BtNi6Uny7oHwJlPnWdFYiDo0c,",DCI: AZITROMICINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Azitromicina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.17,Pichincha , Quito,2022-04-28 08:00:00
SICM-185-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NHdW_ReI-Yxoo05lXW4Ks4ct2rML4k5ktEgpuVfiSZ4,",DCI: QUETIAPINA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Quetiapina,,200 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.178,Pichincha , Quito,2022-04-28 08:00:00
SICM-170-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uihhBnwSxcMYnTYFUTsYw7uW1H5ApCt6PLJOFV3DBlg,",DCI: CIPROFLOXACINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Ciprofloxacina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.04039,Pichincha , Quito,2022-04-28 08:00:00
SICM-186-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=3OoDGLWLwbdzObzm0BmXa_1_uoL_5-w4Vv_8jd13xOg,",DCI: SIMVASTATINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Simvastatina,Sólido Oral,20 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.03,Pichincha , Quito,2022-04-28 08:00:00
SICM-171-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=G1THr5meTZIiOsxdIi8nHMIYAGZwFx_GKeEzLMloi64,",DCI: FLUCONAZOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 150 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Fluconazol,Sólido Oral,150 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.07,Pichincha , Quito,2022-04-28 08:00:00
SICM-187-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ad-FTAKZSOjjvCYrSOxuYEqnr517583ZhEQITSlotGY,","DCI: AMOXICILINA + ÁCIDO CLAVULÁNICO - FORMA FARMACÉUTICA:SÓLIDO ORAL POLVO - CONCENTRACIÓN: 250 MG + 62, 5 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 100 ML MÍNIMO CON DOSIFICADOR",Amoxicilina + Ácido Clavulánico,,"250 MG + 62, 5 MG/5 ML",Caja X Frasco Para Reconstituir A 100 Ml Mínimo Con Dosificador,Adjudicado otros oferentes,2.11066,Pichincha , Quito,2022-04-28 08:00:00
SICM-188-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=qvnA_ZDgeEPd3fnz-T3NzTRMBjKIuFTHMuj9WSzuO2A,",DCI: CARVEDILOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Carvedilol,Sólido Oral,25 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.04663,Pichincha , Quito,2022-04-28 08:00:00
SICM-173-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VzoIiEUnKbBhHuNMrbaF0PzwCxk64_pH7KACzdaUarA,",DCI: CLARITROMICINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Claritromicina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.15148,Pichincha , Quito,2022-04-28 08:00:00
SICM-175-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=aZGFjz0H21-eQWoX4C3PnfqVI-zO4EYpDpXAqfCmsCc,",DCI: LORATADINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Loratadina,Sólido Oral,10 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.013,Pichincha , Quito,2022-04-28 08:00:00
SICM-190-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=n1S8AvXhj1VDvAKEepJ5feZ46ImtpoOE9BXZfA2oY34,",DCI: SIMVASTATINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Simvastatina,Sólido Oral,40 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.03,Pichincha , Quito,2022-04-28 08:00:00
SICM-176-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=T5kc0C-JSp9MQ8Lro4GBjIlVhZOq__Icxa5wzLdmebs,",DCI: ÁCIDO FUSÍDICO - FORMA FARMACÉUTICA:SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 2% - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 15 G MÍNIMO,Ácido Fusídico,,2%,Caja X Tubo X 15 G Mínimo,Adjudicado oferente ganador,1.00986,Pichincha , Quito,2022-04-28 08:00:00
SICM-177-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=x99oMZDOFb-finT-PjA8UefNrLBZdCr3WOyKRKGu6OY,",DCI: COTRIMOXAZOL -SULFAMETOXAZOL + TRIMETOPRIMA- FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 800 MG + 160 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Cotrimoxazol,Sólido Oral,800 MG + 160 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.03,Pichincha , Quito,2022-04-28 08:00:00
SICM-192-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=5Q8fk4Nkw4RKSUMzxOOqlTQsH1aGCmS77Bkx3dnxD6M,",DCI: CLOTRIMAZOL - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 20 G -MÍNIMO-,Clotrimazol,Semisólido Cutáneo,1 %,Caja X Tubo X 20 G -Mínimo-,Adjudicado oferente ganador,0.35,Pichincha , Quito,2022-04-28 08:00:00
SICM-178-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8RgClTLxdZ1tENjoxI-kkeUSBviW0onxoT734bAko8w,",DCI: CEFUROXIMA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Cefuroxima,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.37365,Pichincha , Quito,2022-04-28 08:00:00
SICM-194-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=6hdtWUysche0bEvt9049QiRoCASC1qj6aQDt8oq7dCY,",DCI: SERTRALINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Sertralina,Sólido Oral,50 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.0438,Pichincha , Quito,2022-04-28 08:00:00
SICM-179-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ob1qX8pRXTUfar-A-6-mExHwV61gNi0QY8KYOOuQ9AM,",DCI: TERBINAFINA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 15 G -MÍNIMO-,Terbinafina,Semisólido Cutáneo,1 %,Caja X Tubo X 15 G -Mínimo-,Adjudicado oferente ganador,0.79173,Pichincha , Quito,2022-04-28 08:00:00
