index,codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre,cum_id,principio_activo,forma_farmaceutica,concentracion,presentacion,cantidad,precio_referencial,subtotal,proveedor_adjudicado,valor_adjudicado,fecha_adjudicacion,contrato
255,SICM-285-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kruZ2HWVr0bBfOb5oFwuXyOC9G_tjUEbV5fvdycVC8s,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MESALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.77400,2022-05-04 08:00:00,First 2022,A07EC02SOR241X0,Mesalazina,Sólido oral,500 mg,Caja x blíster/ristra,370016.0,USD 0.774000,"USD 286,392.384000",NEOETHICALS CIA. LTDA.,USD 0.550000,2022-07-25 12:22:34,SI
256,SICM-263-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=an3MChMA3CVNEqrTTIXwxaIjne8oz2Ys1-IyxJHpQaA,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ÁCIDO ALENDRÓNICO -ALENDRONATO SÓDICO- FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 70 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.05277,2022-05-04 08:00:00,First 2022,M05BA04SOR269X0,Ácido alendrónico (Alendronato sódico),Sólido oral,70 mg,Caja x blíster/ristra,4646430.0,USD 0.052767,"USD 245,178.171810",LABORATORIOS LACFARMA S.A.,USD 0.032900,2022-08-17 13:10:41,SI
257,SICM-264-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=raU65xJ-TjgIt4fB9QvZ-gmqEkv1fVEyDDSwjZpA4mo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: ADAPALENO - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 0,1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G -MÍNIMO-",Adjudicado oferente ganador,PICHINCHA / QUITO,$2.72087,2022-05-04 08:00:00,First 2022,D10AD03SSC022X0,Adapaleno,Semisólido cutáneo,"0,1 %",Caja x tubo x 30 g (mínimo),112121.0,USD 2.720866,"USD 305,066.216786",LETERAGO DEL ECUADOR S.A,USD 1.080000,2022-08-16 08:58:07,SI
259,SICM-265-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=G6rk7vs-sxQsNMXyLA1qaYvS77FsIsv7OxFs-VOEJvk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DILTIAZEM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 60 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.05805,2022-05-04 08:00:00,First 2022,C08DB01SOR256X0,Diltiazem,Sólido oral,60 mg,Caja x blíster/ristra,2295376.0,USD 0.058049,"USD 133,244.281424",FARMABION DEL ECUADOR C.A.,USD 0.055030,2022-08-05 10:57:31,SI
260,SICM-287-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TGWhiFTS11GSnXbPO8-KF4WPo72ViQySCa_AyJGT09E,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: RIVAROXABÁN - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.88000,2022-05-04 08:00:00,First 2022,B01AF01SOR140X0,Rivaroxabán,Sólido oral,20 mg,Caja x blíster/ristra,1111388.0,USD 0.880000,"USD 978,021.440000",FARMABION DEL ECUADOR C.A.,USD 0.259000,2022-10-12 08:05:01,SI
262,SICM-288-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=vZlkJkz9hMKosOlXHkvfTvNADGgBOCpRtBpe7dTVcSI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: SULFASALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado oferente ganador,PICHINCHA / QUITO,$0.13719,2022-05-04 08:00:00,First 2022,A07EC01SOR241X0,Sulfasalazina,Sólido oral,500 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",1832562.0,USD 0.137193,"USD 251,414.678466",LABORATORIOS LACFARMA S.A.,USD 0.079000,2022-08-01 10:27:17,SI
264,SICM-268-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gYuisM0JTKa8TSH4pG8OTXdijWX4_FvI4hDNUcvkdeg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: HIDROCORTISONA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO / LÍQUIDO CUTÁNEO - CONCENTRACIÓN: 1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 15 G -MÍNIMO- CAJA X FRASCO,Adjudicado oferente ganador,PICHINCHA / QUITO,$2.00000,2022-05-04 08:00:00,First 2022,D07AA02SLC052X0,Hidrocortisona,Semisólido cutáneo o líquido cutáneo,1 %,Caja x tubo x 15 g (mínimo) - Caja x frasco,19984.0,USD 2.000000,"USD 39,968.000000",FARMABION DEL ECUADOR C.A.,USD 1.200000,2022-08-05 11:03:31,SI
265,SICM-269-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=43ARlh9OKh2bzd3hsroJb2hftuoBJz3WxgJd7Q_cUBQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: IPRATROPIO BROMURO - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 0,02 MG/DOSIS - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 200 DOSIS -MÍNIMO- + DISPOSITIVO ACCIONADOR",Adjudicado oferente ganador,PICHINCHA / QUITO,$5.15028,2022-05-04 08:00:00,First 2022,R03BB01LIH016X0,Ipratropio bromuro,Líquido para inhalación,"0,02 mg/dosis",Caja x frasco x 200 dosis (mínimo) + dispositivo accionador,573769.0,USD 5.150284,"USD 2,955,073.300396",LABORATORIOS CHALVER DEL ECUADOR CIA LTDA,USD 2.110000,2022-08-16 12:31:59,SI
268,SICM-272-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tVPLp2B0o92fK_17gSejfihQMt4XggpsDhR-F7kKTgg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: NIFEDIPINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado oferente ganador,PICHINCHA / QUITO,$0.06000,2022-05-04 08:00:00,First 2022,C08CA05SOR075X0,Nifedipina,Sólido oral,10 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",8326571.0,USD 0.060000,"USD 499,594.260000",FARMALIGHT S.A.,USD 0.056400,2022-07-22 09:56:19,SI
271,SICM-245-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=5b_F4Jm7gPG-O-ivLA18vfRRu0HINasSVxn0oRKHMJ0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BECLOMETASONA - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 50 MCG/DOSIS - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 120 DOSIS -MÍNIMO-,Adjudicado oferente ganador,PICHINCHA / QUITO,$7.77592,2022-05-03 08:00:00,First 2022,R03BA01LIH233X0,Beclometasona,Líquido para inhalación,50 mcg/dosis,Caja x frasco x 120 dosis (mínimo),39240.0,USD 7.775918,"USD 305,127.022320",PIGMALION PHARMA LABORATORIOS PPH S.A.,USD 2.000000,2022-10-07 15:43:07,SI
272,SICM-246-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Jr6qaH_TpB6zNYg8J2dn9ptt9NrJbYS28IEgvMFjhCc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: CABERGOLINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 0,5 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado oferente ganador,PICHINCHA / QUITO,$1.11085,2022-05-03 08:00:00,First 2022,G02CB03SOR043X0,Cabergolina,Sólido oral,"0,5mg","Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",479112.0,USD 1.110846,"USD 532,219.648752",NEOETHICALS CIA. LTDA.,USD 0.460000,2022-07-22 10:21:57,SI
275,SICM-247-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=AvBblt-Dk8aSUHKDp9rz8GuyT81paDK_CSrJwGLNFrs,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: CALCITRIOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 0,5 MCG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Adjudicado oferente ganador,PICHINCHA / QUITO,$0.10099,2022-05-03 08:00:00,First 2022,A11CC04SOR042X0,Calcitriol,Sólido oral,"0,5 mcg",Caja x blíster/ristra,10574200.0,USD 0.100990,"USD 1,067,888.458000",PHARMABRAND S.A.,USD 0.050000,2022-08-17 13:29:12,SI
277,SICM-249-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Tur9s-cMV1As0rxkP2vwuxK8OyM4TvC7Wp5cTCFvbRc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: HIDROXICARBAMIDA -HIDROXIUREA- FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.28780,2022-05-03 08:00:00,First 2022,L01XX05SOR241X0,Hidroxicarbamida (Hidroxiurea),Sólido oral,500 mg,Caja x blíster/ristra,1010620.0,USD 0.287800,"USD 290,856.436000",FARMABION DEL ECUADOR C.A.,USD 0.123000,2022-09-05 16:41:54,SI
279,SICM-251-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sYGKiTOfi3-2fidlUlOo7NS2Mgo1N4dUp4ykQgAgAB0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: IPRATROPIO BROMURO - FORMA FARMACÉUTICA: LÍQUIDO PARA NEBULIZACIÓN - CONCENTRACIÓN: 0,25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 20 ML",Adjudicado oferente ganador,PICHINCHA / QUITO,$3.16592,2022-05-03 08:00:00,First 2022,R03BB01LNB036C8,Ipratropio bromuro,Líquido para nebulización,"0,25 mg/mL",Caja x frasco x 20 mL,311717.0,USD 3.165916,"USD 986,869.837772",NORTH LIFE PHARMA ECUADOR NLF C.L.,USD 0.907500,2022-08-08 15:39:49,SI
280,SICM-252-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_p6DurhkH1egyPGIh-7TwPsgzfK7Pm86HnTKVzwKa6Q,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: OLOPATADINA  - FORMA FARMACÉUTICA:LÍQUIDO OFTÁLMICO  - CONCENTRACIÓN: 0,2 % -2 MG/ML- PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML -MÍNIMO-",Adjudicado oferente ganador,PICHINCHA / QUITO,$6.79636,2022-05-03 08:00:00,First 2022,S01GX09LOF359X0,Olopatadina,Líquido oftálmico,"0,2 % (2 mg/mL)",Caja x frasco gotero x 5 mL (mínimo),48740.0,USD 6.796355,"USD 331,254.342700",LETERAGO DEL ECUADOR S.A,USD 3.600000,2022-08-22 17:13:04,SI
281,SICM-253-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7hzuLUCj46y08uwnFAlNnR5OU85K2LM5eXf39xGfI34,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TRAMADOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.03527,2022-05-03 08:00:00,First 2022,N02AX02SOR235X0,Tramadol,Sólido oral,50 mg,Caja x blíster/ristra,8551400.0,USD 0.035267,"USD 301,582.223800",NEOETHICALS CIA. LTDA.,USD 0.033468,2022-07-25 12:52:08,SI
282,SICM-254-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=dBmu1RoPUl9W7D_9THYLwn4wtzI41QjKUSQ61UoHQyE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: UREA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 10 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 90 G -MÍNIMO-,Adjudicado otros oferentes,PICHINCHA / QUITO,$1.47855,2022-05-03 08:00:00,First 2022,D02AE01SSC073X0,Urea,Semisólido cutáneo,10 %,Caja x tubo x 90 g (mínimo),746876.0,USD 1.478548,"USD 1,104,292.016048",FARMABION DEL ECUADOR C.A.,USD 0.999000,2022-09-05 13:14:55,SI
283,SICM-255-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MHwabI39fV-92HsQJIgj_DrIWFyoQ4Mg2D6oOxZ295k,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ACETAZOLAMIDA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 250 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.20000,2022-05-03 08:00:00,First 2022,S01EC01SOR165X0,Acetazolamida,Sólido oral,250 mg,Caja x blíster/ristra,267001.0,USD 0.200000,"USD 53,400.200000",KRONOS LABORATORIOS C. LTDA.,USD 0.150000,2022-08-16 10:58:42,SI
284,SICM-256-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=OAjGOpOsirySe2ozJHzyJs4JVjJR0-nO5uIuGREydPw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ÁCIDO ACETIL SALICÍLICO - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.01000,2022-05-03 08:00:00,First 2022,B01AC06SOR083X0,Ácido acetil salicílico,Sólido oral,100 mg,Caja x blíster/ristra,97543351.0,USD 0.010000,"USD 975,433.510000",PHARMABRAND S.A.,USD 0.008000,2022-08-08 15:15:22,SI
286,SICM-258-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kpeSqF-K4CT2M5g5oB3ObMpLdad9aGZ0rbEsevWaZZI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CLORTALIDONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.06172,2022-05-03 08:00:00,First 2022,C03BA04SOR157X0,Clortalidona,Sólido oral,25 mg,Caja x blíster/ristra,14698051.0,USD 0.061718,"USD 907,134.311618",PROPHAR S.A,USD 0.030000,2022-08-22 17:23:47,SI
290,SICM-234-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ErOOghwd56g-5McJQXK0wTdIKqkEZRLNvpXnNSJW_fY,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: COTRIMOXAZOL SULFAMETOXAZOL + TRIMETOPRIMA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 400 MG + 80 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.01900,2022-05-03 08:00:00,First 2022,J01EE01SOR214X0,Cotrimoxazol (Sulfametoxazol + Trimetoprima),Sólido oral,400 mg + 80 mg,Caja x blíster/ristra,4644655.0,USD 0.019000,"USD 88,248.445000",PHARMABRAND S.A.,USD 0.017999,2022-08-17 13:08:52,SI
293,SICM-237-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=4Lqpmu2fCeOpDLalJJ0-PiKmGuOjwRb1hfoPvWKW6Bo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METRONIDAZOL - FORMA FARMACÉUTICA: SÓLIDO VAGINAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.12500,2022-05-03 08:00:00,First 2022,G01AF01SVG241X0,Metronidazol,Sólido vaginal,500 mg,Caja x blíster/ristra,6916753.0,USD 0.125000,"USD 864,594.125000",,,,NO
295,SICM-239-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZyBSQD-WlqOn9pnCTI0MpWw4wxUNv50jwEm7GNzEhj8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: BETAMETASONA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 0,05 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G -MÍNIMO-",Adjudicado otros oferentes,PICHINCHA / QUITO,$0.99000,2022-05-03 08:00:00,First 2022,D07AC01SSC018X0,Betametasona,Semisólido cutáneo,"0,05 %",Caja x tubo x 30 g (mínimo),1365647.0,USD 0.990000,"USD 1,351,990.530000",LABORATORIOS LACFARMA S.A.,USD 0.448000,2022-11-16 10:45:37,SI
299,SICM-243-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8od0RXl454jjrOmQr-LTVwZRb8imkdEsPNBbIoBjdog,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: SILDENAFILO - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.17500,2022-05-03 08:00:00,First 2022,G04BE03SOR235X0,Sildenafilo,Sólido oral,50 mg,Caja x blíster/ristra,691635.0,USD 0.175000,"USD 121,036.125000",KRONOS LABORATORIOS C. LTDA.,USD 0.090000,2022-10-11 16:49:50,SI
301,SICM-215-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=JE2DdG0T25tYviiSBg97b-ZY8Y1bTxAQRjoRHCpFb2c,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PREDNISONA  - FORMA FARMACÉUTICA:SÓLIDO ORAL  - CONCENTRACIÓN:5 MG  - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.03000,2022-04-29 08:00:00,First 2022,H02AB07SOR223X0,Prednisona,Sólido oral,5 mg,Caja x blíster/ristra,15192088.0,USD 0.030000,"USD 455,762.640000",PHARMABRAND S.A.,USD 0.010000,2022-07-22 10:10:28,SI
302,SICM-216-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1UdeZUkW2FlpCXaqUtXYxCeRa34rnhXDXaW9yhYZgb4,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: SERTRALINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.09385,2022-04-29 08:00:00,First 2022,N06AB06SOR083X0,Sertralina,Sólido oral,100 mg,Caja x blíster/ristra,5983326.0,USD 0.093846,"USD 561,511.211796",PHARMABRAND S.A.,USD 0.035000,2022-07-22 09:42:42,SI
303,SICM-217-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IxLWXe2J2XgbxZt_bdxX2ppYK43R6l0JtXDcWTRSSjY,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TINIDAZOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.04320,2022-04-29 08:00:00,First 2022,P01AB02SOR061X0,Tinidazol,Sólido oral,1 000 mg,Caja x blíster/ristra,7818176.0,USD 0.043202,"USD 337,760.839552",PHARMABRAND S.A.,USD 0.040900,2022-07-26 10:02:27,SI
304,SICM-218-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FZRLOr4D2li4xH9fWnXnr0MZNDuXaI6jD89xnYGxoLg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: COTRIMOXAZOL -SULFAMETOXAZOL + TRIMETOPRIMA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: -200 MG + 40 MG-/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML -MÍNIMO- CON DOSIFICADOR,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.68597,2022-04-29 08:00:00,First 2022,J01EE01LOR007X0,Cotrimoxazol (Sulfametoxazol + Trimetoprima),Líquido oral,(200 mg + 40 mg)/5 mL,Caja x frasco x 100 mL (mínimo) con dosificador,953071.0,USD 0.685965,"USD 653,773.348515",PHARMABRAND S.A.,USD 0.450000,2022-10-11 17:01:01,SI
305,SICM-219-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=T6SIn4F1xyOHPkkOI4Jyol0qVhC90YDDrsL5rX5nl5Q,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: PREDNISONA  - FORMA FARMACÉUTICA:SÓLIDO ORAL  - CONCENTRACIÓN: 20 MG  - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado oferente ganador,PICHINCHA / QUITO,$0.02623,2022-04-29 08:00:00,First 2022,H02AB07SOR140X0,Prednisona,Sólido oral,20 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",8691255.0,USD 0.026230,"USD 227,971.618650",PHARMABRAND S.A.,USD 0.020000,2022-10-06 12:26:18,SI
306,SICM-220-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fJxK2Ya0jUz0inCb0Kobcc2kLlxdvI8mI04nPD-LG2I,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DICLOXACILINA - FORMA FARMACÉUTICA: SÓLIDO ORAL -POLVO - CONCENTRACIÓN: 250 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO PARA RECONSTITUIR A 60 ML -MÍNIMO- CON DOSIFICADOR,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.77759,2022-04-29 08:00:00,First 2022,J01CF01SOP168X0,Dicloxacilina,Sólido oral (polvo),250 mg/5 mL,Caja x frasco para reconstituir a 60 mL (mínimo) con dosificador,700996.0,USD 0.777592,"USD 545,088.881632",FARMABION DEL ECUADOR C.A.,USD 0.737935,2022-08-04 15:07:20,SI
308,SICM-222-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HwYkYoiHGK4BYyCzbZVD0CFnSvqFRdyfXuj1LlnWhiA,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: TIMOLOL - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,5 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML -MÍNIMO-",Adjudicado oferente ganador,PICHINCHA / QUITO,$0.68200,2022-04-29 08:00:00,First 2022,S01ED01LOF041X0,Timolol,Líquido oftálmico,"0,5 %",Caja x frasco gotero x 5 mL (mínimo),233387.0,USD 0.682000,"USD 159,169.934000",PHARMABRAND S.A.,USD 0.480000,2022-07-22 09:32:12,SI
309,SICM-199-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0yENAlx1TAktPD-FruqmRNzhs_N8uBfPEKjahBo6hHQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: RISPERIDONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.11275,2022-04-29 08:00:00,First 2022,N05AX08SOR128X0,Risperidona,Sólido oral,2 mg,Caja x blíster/ristra,8465134.0,USD 0.112750,"USD 954,443.858500",LABORATORIOS LACFARMA S.A.,USD 0.010500,2022-07-22 11:00:45,SI
